institution,inst.category,total.fte,total.number,res.staff.fte,res.staff.number,student.fte,student.number,tech.fte,tech.number,other.fte,other.number,funded.ep,percent.funded.ep,nesi.learner.2017,nesi.learner.2016,nesi.learner.2015,nesi.learner.2013,nesi.training.2016,nesi.training.2015
Victoria University of Wellington,heduni,,,,,2155.00,3455.00,,,,,641.54,,1.00,27.00,,,,
University of Auckland,heduni,,,,,4095.00,6015.00,,,,,1555.48,,104.00,97.00,13.00,5.00,,
University of Otago,heduni,,,,,2070.00,2685.00,,,,,1168.24,,51.00,46.00,,,,
University of Canterbury,heduni,,,,,1820.00,2645.00,,,,,617.06,,20.00,42.00,1.00,4.00,,
University of Waikato,heduni,,,,,1275.00,2170.00,,,,,440.63,,1.00,2.00,,,,
Massey University,heduni,,,,,2965.00,4585.00,,,,,918.62,,21.00,3.00,14.00,,,
Lincoln University,heduni,,,,,360.00,510.00,,,,,174.10,,5.00,3.00,23.00,1.00,,
Auckland University of Technology,heduni,,,,,1685.00,2775.00,,,,,429.47,,1.00,1.00,27.00,,,
Unitec New Zealand,heduni,,,,,295.00,425.00,,,,,114.77,,,,,,,
Te Whare W_nanga o Awanui_rangi,hedother,,,,,190.00,320.00,,,,,11.00,,,,,,,
Eastern Institute of Technology,hedother,,,,,35.00,75.00,,,,,29.71,,,,,,,
Otago Polytechnic,hedother,,,,,55.00,120.00,,,,,51.39,,,,,,,
Manukau Institute of Technology,hedother,,,,,0.00,0.00,,,,,24.35,,,,,,,
Christchurch Polytechnic Institute of Technology,hedother,,,,,0.00,0.00,,,,,32.65,,,,,,,
Whitireia Community Polytechnic,hedother,,,,,10.00,15.00,,,,,12.90,,,,,,,
Waikato Institute of Technology,hedother,,,,,20.00,55.00,,,,,22.15,,,,,,,
Open Polytechnic of New Zealand,hedother,,,,,0.00,0.00,,,,,14.70,,,,,,,
Whitecliffe College of Arts and Design,hedother,,,,,,,,,,,11.49,,,,,,,
Laidlaw College,hedother,,,,,,,,,,,6.40,,,,,,,
Carey Baptist College,hedother,,,,,,,,,,,5.50,,,,,,,
Wellington Institute of Technology,hedother,,,,,0.00,0.00,,,,,7.91,,,,,,,
Northland Polytechnic,hedother,,,,,0.00,0.00,,,,,6.35,,,,,,,
AIS St Helens,hedother,,,,,,,,,,,5.00,,,,,,,
Bethlehem Institute of Education,hedother,,,,,,,,,,,3.00,,,,,,,
Good Shepherd College - Te Hepara Pai,hedother,,,,,,,,,,,2.00,,,,,,,
New Zealand College of Chiropractic,hedother,,,,,,,,,,,2.00,,,,,,,
New Zealand Tertiary College,hedother,,,,,,,,,,,3.00,,,,,,,
