institution,inst.category,total.fte,total.number,res.staff.fte,res.staff.number,student.fte,student.number,tech.fte,tech.number,other.fte,other.number,funded.eps,nesi.learner.2016,nesi.learner.2015,nesi.training.2016,nesi.training.2015
Victoria University of Wellington,heduni,,,,,,,,,,,641.54,,,,
University of Auckland,heduni,,,,,,,,,,,1555.48,,,,
University of Otago,heduni,,,,,,,,,,,1168.24,,,,
University of Canterbury,heduni,,,,,,,,,,,617.06,,,,
University of Waikato,heduni,,,,,,,,,,,440.63,,,,
Massey University,heduni,,,,,,,,,,,918.62,,,,
Lincoln University,heduni,,,,,,,,,,,174.1,,,,
Auckland University of Technology,heduni,,,,,,,,,,,429.47,,,,
Unitec New Zealand,heduni,,,,,,,,,,,114.77,,,,
Te Whare W_nanga o Awanui_rangi,hedother,,,,,,,,,,,11,,,,
Eastern Institute of Technology,hedother,,,,,,,,,,,29.71,,,,
Otago Polytechnic,hedother,,,,,,,,,,,51.39,,,,
Manukau Institute of Technology,hedother,,,,,,,,,,,24.35,,,,
Christchurch Polytechnic Institute of Technology,hedother,,,,,,,,,,,32.65,,,,
Whitireia Community Polytechnic,hedother,,,,,,,,,,,12.9,,,,
Waikato Institute of Technology,hedother,,,,,,,,,,,22.15,,,,
Open Polytechnic of New Zealand,hedother,,,,,,,,,,,14.7,,,,
Whitecliffe College of Arts and Design,hedother,,,,,,,,,,,11.49,,,,
Laidlaw College,hedother,,,,,,,,,,,6.4,,,,
Carey Baptist College,hedother,,,,,,,,,,,5.5,,,,
Wellington Institute of Technology,hedother,,,,,,,,,,,7.91,,,,
Northland Polytechnic,hedother,,,,,,,,,,,6.35,,,,
AIS St Helens,hedother,,,,,,,,,,,5,,,,
Bethlehem Institute of Education,hedother,,,,,,,,,,,3,,,,
Good Shepherd College                                                                      - Te Hepara Pai,hedother,,,,,,,,,,,2,,,,
New Zealand College of Chiropractic,hedother,,,,,,,,,,,2,,,,
New Zealand Tertiary College,hedother,,,,,,,,,,,3,,,,
AgResearch,cri,767,,,,,,,,,,,,,,
ESR,cri,351,,,,,,,,,,,,,,
GNS Science,cri,369,,,,,,,,,,,,,,
Landcare,cri,331,,,,,,,,,,,,,,
NIWA,cri,594,,,,,,,,,,,,,,
PFR,cri,805,,,,,,,,,,,,,,
Scion,cri,283,,,,,,,,,,,,,,
other,otherinst,,,,,,,,,,,,,,,
